         0.84563939E-005 ,          0.11719449E-005
         0.84938050E-005 ,          0.12204452E-005
         0.85311865E-005 ,          0.12693852E-005
         0.85685361E-005 ,          0.13187672E-005
         0.86058512E-005 ,          0.13685936E-005
         0.86431291E-005 ,          0.14188666E-005
         0.86803673E-005 ,          0.14695887E-005
         0.87175630E-005 ,          0.15207619E-005
         0.87547137E-005 ,          0.15723887E-005
         0.87918165E-005 ,          0.16244714E-005
         0.88288689E-005 ,          0.16770121E-005
         0.88658679E-005 ,          0.17300132E-005
         0.89028108E-005 ,          0.17834770E-005
         0.89396948E-005 ,          0.18374057E-005
         0.89765171E-005 ,          0.18918015E-005
         0.90132747E-005 ,          0.19466667E-005
         0.90499647E-005 ,          0.20020037E-005
         0.90865843E-005 ,          0.20578145E-005
         0.91231304E-005 ,          0.21141014E-005
         0.91596001E-005 ,          0.21708668E-005
         0.91959903E-005 ,          0.22281127E-005
         0.92322980E-005 ,          0.22858413E-005
         0.92685200E-005 ,          0.23440550E-005
         0.93046534E-005 ,          0.24027559E-005
         0.93406949E-005 ,          0.24619461E-005
         0.93766413E-005 ,          0.25216280E-005
         0.94124895E-005 ,          0.25818035E-005
         0.94482363E-005 ,          0.26424749E-005
         0.94838783E-005 ,          0.27036444E-005
         0.95194123E-005 ,          0.27653140E-005
         0.95548350E-005 ,          0.28274860E-005
         0.95901430E-005 ,          0.28901625E-005
         0.96253329E-005 ,          0.29533455E-005
         0.96604014E-005 ,          0.30170372E-005
         0.96953449E-005 ,          0.30812396E-005
         0.97301601E-005 ,          0.31459549E-005
         0.97648433E-005 ,          0.32111851E-005
         0.97993911E-005 ,          0.32769324E-005
         0.98338000E-005 ,          0.33431986E-005
         0.98680662E-005 ,          0.34099860E-005
         0.99021863E-005 ,          0.34772964E-005
         0.99361565E-005 ,          0.35451320E-005
         0.99699731E-005 ,          0.36134948E-005
         0.10003633E-004 ,          0.36823866E-005
         0.10037131E-004 ,          0.37518095E-005
         0.10070465E-004 ,          0.38217656E-005
         0.10103630E-004 ,          0.38922566E-005
         0.10136622E-004 ,          0.39632846E-005
         0.10169438E-004 ,          0.40348515E-005
         0.10202074E-004 ,          0.41069592E-005
         0.10234526E-004 ,          0.41796096E-005
